subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,2,0.142086,-89.509706,True,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,3,0.213129,61.203077,True,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,4,0.284172,-64.080431,True,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,5,0.355215,71.408242,True,2.876
1,1,4,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_189.wav,1,6,0.426259,-96.299976,True,2.876
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,0,0.000000,-87.527114,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,1,0.071043,-24.885537,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,2,0.142086,25.492299,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,3,0.213129,-85.109295,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,4,0.284172,41.982644,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,5,0.355215,-147.448489,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_1.wav,0,6,0.426259,3.412386,False,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,0,0.000000,-23.596543,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,1,0.071043,-71.824414,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,2,0.142086,88.506579,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,3,0.213129,-79.935804,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,4,0.284172,97.974212,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,5,0.355215,-89.439384,True,1.446
1,1,5,1,f/m,20,2022-05-09 15:54:29.177314,male_vraiment_flat_19.wav,1,6,0.426259,-131.198163,True,1.446
