,type,subject,session,experimentor,segment,kernel_value
307,patients,35,2,jeulin,6,0.3607482623327377
308,patients,35,3,jeulin,0,-0.02605522812105785
309,patients,35,3,jeulin,1,-0.3070490492922574
310,patients,35,3,jeulin,2,0.9271085444407832
311,patients,35,3,jeulin,3,-1.428084649749975
312,patients,35,3,jeulin,4,-0.4340813320059927
313,patients,35,3,jeulin,5,1.736274103698634
314,patients,35,3,jeulin,6,-0.8961091565312076
315,patients,35,4,jeulin,0,-0.586983052620627
316,patients,35,4,jeulin,1,-1.0918180388698064
317,patients,35,4,jeulin,2,-1.5171496936683606
318,patients,35,4,jeulin,3,0.2909102358378251
319,patients,35,4,jeulin,4,0.8991622666861102
320,patients,35,4,jeulin,5,0.9372342216436044
321,patients,35,4,jeulin,6,1.1790299146202534
322,patients,36,1,jeulin,0,0.1993547517474757
323,patients,36,1,jeulin,1,1.4577462031141337
324,patients,36,1,jeulin,2,-1.2445506813988996
325,patients,36,1,jeulin,3,-0.24897109130589287
326,patients,36,1,jeulin,4,-0.040218283779838125
327,patients,36,1,jeulin,5,1.7410121653141963
328,patients,36,1,jeulin,6,0.4377211638284048
329,patients,36,2,jeulin,0,-1.0249616069583352
330,patients,36,2,jeulin,1,0.4734147581674041
331,patients,36,2,jeulin,2,-1.5786439429377426
332,patients,36,2,jeulin,3,0.7260034223465524
333,patients,36,2,jeulin,4,0.30921215856410217
334,patients,36,2,jeulin,5,-1.5487047658830415
335,patients,36,2,jeulin,6,0.4604735522318718
336,patients,36,3,jeulin,0,0.2030365512602475
337,patients,36,3,jeulin,1,-1.2926344806918435
338,patients,36,3,jeulin,2,-0.4107970545475013
339,patients,36,3,jeulin,3,0.3723883720426122
340,patients,36,3,jeulin,4,-1.2038800235469467
341,patients,36,3,jeulin,5,1.6926775404631587
342,patients,36,3,jeulin,6,-0.8160640731202532
343,patients,36,4,jeulin,0,0.21237095395907005
344,patients,36,4,jeulin,1,-0.009814203562633687
345,patients,36,4,jeulin,2,2.345860260797362
346,patients,36,4,jeulin,3,0.3957720480797276
347,patients,36,4,jeulin,4,-0.032034238499125935
348,patients,36,4,jeulin,5,1.0999935903506344
349,patients,36,4,jeulin,6,-0.289990156461833
350,patients,37,1,jeulin,0,0.3753211954068166
351,patients,37,1,jeulin,1,-0.3034008610040466
352,patients,37,1,jeulin,2,0.30893788266114225
353,patients,37,1,jeulin,3,-0.766437804707491
354,patients,37,1,jeulin,4,-0.5043507682416786
355,patients,37,1,jeulin,5,-2.2073329543136175
356,patients,37,1,jeulin,6,0.9785315147544104
357,patients,37,2,jeulin,0,1.176972594515991
358,patients,37,2,jeulin,1,1.1375652741713833
359,patients,37,2,jeulin,2,1.2808326269634338
360,patients,37,2,jeulin,3,-0.1828737807531915
361,patients,37,2,jeulin,4,-0.19245923841617796
362,patients,37,2,jeulin,5,1.6071198674567133
363,patients,37,2,jeulin,6,0.16380138568048377
364,patients,37,3,jeulin,0,-0.078921254304967
365,patients,37,3,jeulin,1,-0.7665984973222956
366,patients,37,3,jeulin,2,-1.1292719168760146
367,patients,37,3,jeulin,3,0.10864393459686253
368,patients,37,3,jeulin,4,1.0019971985633238
